"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1751","test_google_selenium","tests","Mon Mar 16 17:12:36 UTC 2026","passed","Mon Mar 16 17:12:38 UTC 2026","","test_google","",""
" TC-01: 정상 로그인 시 200 OK와 토큰을 발급받는지 확인한다.(로그인 통과)","223","test_login_success","api","Mon Mar 16 17:12:32 UTC 2026","passed","Mon Mar 16 17:12:32 UTC 2026","","postman_test","",""
"","1590","test_google_search_pytyon","tests","Mon Mar 16 17:12:38 UTC 2026","passed","Mon Mar 16 17:12:40 UTC 2026","","test_google","",""
"","1","test_verify_user_in_local_db","api","Mon Mar 16 17:12:33 UTC 2026","passed","Mon Mar 16 17:12:33 UTC 2026","","postman_test","",""
"여러 가지 로그인 실패 상황(Edge Case)을 하나의 코드로 검증한다.","225","test_login_multiple_failures[TC-05: \uc874\uc7ac\ud558\uc9c0 \uc54a\ub294 \uc720\uc800-ghost_user-emilyspass-400]","api","Mon Mar 16 17:12:33 UTC 2026","passed","Mon Mar 16 17:12:33 UTC 2026","","postman_test","",""
"","221","test_login_fail","api","Mon Mar 16 17:12:31 UTC 2026","passed","Mon Mar 16 17:12:32 UTC 2026","","login_test","",""
"","634","test_full_e2e_scenario","api","Mon Mar 16 17:12:43 UTC 2026","passed","Mon Mar 16 17:12:44 UTC 2026","","e2e_test","",""
"여러 가지 로그인 실패 상황(Edge Case)을 하나의 코드로 검증한다.","232","test_login_multiple_failures[TC-06: \ube44\ubc00\ubc88\ud638 \ube48\uce78-emilys--400]","api","Mon Mar 16 17:12:33 UTC 2026","passed","Mon Mar 16 17:12:33 UTC 2026","","postman_test","",""
"","1862","test_saucedemo_checkout_e2e","api","Mon Mar 16 17:12:34 UTC 2026","passed","Mon Mar 16 17:12:36 UTC 2026","","test_commerce_e2e","",""
"여러 가지 로그인 실패 상황(Edge Case)을 하나의 코드로 검증한다.","226","test_login_multiple_failures[TC-04: \ube44\ubc00\ubc88\ud638 \ud2c0\ub9bc-emilys-wrongpass-400]","api","Mon Mar 16 17:12:33 UTC 2026","passed","Mon Mar 16 17:12:33 UTC 2026","","postman_test","",""
"","939","test_login_and_get_info","api","Mon Mar 16 17:12:30 UTC 2026","passed","Mon Mar 16 17:12:31 UTC 2026","","login_test","",""
"TC-02: 비밀번호가 틀렸을 때 400 에러와 안내 메시지가 오는지 확인한다.(비밀번호 에러 방어 통과)","233","test_login_fail_wrong_password","api","Mon Mar 16 17:12:32 UTC 2026","passed","Mon Mar 16 17:12:32 UTC 2026","","postman_test","",""
"","1567","test_google_search_autotesting","tests","Mon Mar 16 17:12:40 UTC 2026","passed","Mon Mar 16 17:12:42 UTC 2026","","test_google","",""
"TC-03: 발금받은 토큰(카드키)으로 내 정보를 성공적으로 조회한다.(토큰 연동해서 내 정보 조회 통과)","447","test_get_my_info_with_token","api","Mon Mar 16 17:12:32 UTC 2026","passed","Mon Mar 16 17:12:33 UTC 2026","","postman_test","",""
